category,definition,terms
Drilling,"A thick, heavy steel component of a conventional ram blowout preventer. In a normal pipe ram, the two blocks of steel that meet in the center of the wellbore to seal the well have a hole (one-half of the hole on each piece) through which the pipe fits. The blind ram has no space for pipe and is instead blanked off in order to be able to close over a well that does not contain a drillstring. It may be loosely thought of as the sliding gate on a gate valve.",blind ram
Drilling,"To establish circulation of drilling fluids after a period of static conditions. Circulation may resume after a short break, such as taking a survey or making a mousehole connection, or after a prolonged interruption, such as after a round trip. The operation is of more concern to drillers and well planners with longer static intervals, since immobile drilling fluid tends to become less fluid and more gelatinous or semisolid with time.",break circulation
Well Workover and Intervention,"To hold one end of a threaded connection while the other is turned to make up the joint. To ensure a secure connection, many types of threaded joints are made up to specific torque requirements in oil- and gas-well applications. This process requires the controlled application of force to the rotating component and a means of stabilizing and securing the corresponding stationary component to which it is being connected.",back up
Production Testing,"A fixed choke or a choke with an adjustable needle, sleeve or plate that can be changed to adjust the flow rate. The flow rate from a well is limited to conserve reservoir energy, decrease friction forces and improve production efficiency and prevent development of conditions that can reduce ultimate recovery. A high rate of fluid can generate a drastic cooling effect near the wellbore with the precipitation of scales and paraffins as well as a reduction of the oil relative permeability because of an increase in gas saturation.",beam
Well Workover and Intervention," Drilling,A blowout preventer (BOP) closing element fitted with hardened tool steel blades designed to cut the drillpipe or tubing when the BOP is closed, and then fully close to provide isolation or sealing of the wellbore. A shear ram is normally used as a last resort to regain pressure control of a well that is flowing. Once the pipe is cut (or sheared) by the shear rams, it is usually left hanging in the BOP stack, and kill operations become more difficult. The joint of drillpipe or tubing is destroyed in the process, but the rest of the string is unharmed by the operation of shear rams.",blind shear ram
Drilling,"To unscrew drillstring components, which are coupled by various threadforms known as connections, including tool joints and other threaded connections.",break out
Well Completions,"A supporting ring used with an O-ring, or similar seal, to prevent extrusion of the seal material under high differential pressures or excess wear under dynamic sealing conditions",back up ring
Well Completions,An artificial-lift pumping system using a surface power source to drive a downhole pump assembly. A beam and crank assembly creates reciprocating motion in a sucker-rod string that connects to the downhole pump assembly. The pump contains a plunger and valve assembly to convert the reciprocating motion to vertical fluid movement.,beam pump
Geophysics,"A layer or body of rock that cannot be detected by seismic refraction, typically because its velocity is lower than that of the overlying rocks; also known as a hidden layer.",blind zone
Geophysics,"A shadow zone, or a zone through which waves do not pass, or cannot be recorded, or in which reflections do not occur.",blind zone
Well Completions,"The pressure at which the rock matrix of an exposed formation fractures and allows fluid to be injected. The breakdown pressure is established before determining reservoir treatment parameters. Hydraulic fracturing operations are conducted above the breakdown pressure, while matrix stimulation treatments are performed with the treatment pressure safely below the breakdown pressure.",breakdown pressure
Drilling,"Another term for reverse circulation, the intentional pumping of wellbore fluids down the annulus and back up through the drillpipe. This is the opposite of the normal direction of fluid circulation in a wellbore. Since the inside volume of the drillpipe is considerably less than the volume of the annulus outside of the drillpipe, reverse circulation can bring bottomhole fluids to the surface faster than normal circulation for a given flow rate. Two potential hazards of reverse circulation include lifting cuttings and other junk into the drillstring and the rapid flow of reservoir fluids to the surface in a kick situation.",back wash
Well Completions,"To conduct reverse circulation, that is, to circulate fluid down the wellbore annulus, with returns being made up the tubing string. Reverse circulation is often used to remove debris from the wellbore since the high fluid flow rate inside the tubing string enables the recovery of large or dense debris particles that are difficult or impossible to remove with conventional circulation.",back wash
Production Testing,"A fixed choke or a choke with an adjustable needle, sleeve or plate that can be changed to adjust the flow rate.",bean
Well Workover and Intervention,"A blowout preventer (BOP) closing element fitted with hardened tool steel blades designed to cut the drillpipe or tubing when the BOP is closed, and then fully close to provide isolation or sealing of the wellbore. A shear ram is normally used as a last resort to regain pressure control of a well that is flowing. Once the pipe is cut (or sheared) by the shear rams, it is usually left hanging in the BOP stack, and kill operations become more difficult. The joint of drillpipe or tubing is destroyed in the process, but the rest of the string is unharmed by the operation of shear rams.",blind shear ram
Drilling Fluids,"A chemical that reduces the viscosity of a fluid by breaking long-chain molecules into shorter segments. Drilling fluids are commonly emulsified or contain long-chain molecules that have sufficient viscosity to carry cuttings to surface. After the drilling fluid has done its job, a breaker may be added to reduce the viscosity of the fluid by breaking down the long chain molecules into shorter molecules. A surfactant may be added to an emulsion to reduce its viscosity.",breaker
Well Workover and Intervention,"A chemical used to reduce the viscosity of specialized treatment fluids such as gels and foams. Breaking down the fluid viscosity may be desirable either as part of a treatment, such as allowing flow back of the spent treatment fluid, or following a treatment as part of the fluid-disposal process. Depending on the application, a breaker of predictable performance may be incorporated into the treatment fluid for downhole activation, or be added directly to the returned fluid for immediate effect at surface.",breaker
Well Testing,"Fluid flow in the borehole from one zone into another in response to pressure differences between the zones. Any time the wellbore pressure rises above the average pressure in any zone, backflow will occur. Analysis of buildup tests involving backflow is either impossible or extremely difficult and usually requires expert input to determine useful information from such tests.",backflow
Well Completions,"A fixed choke used to control the flow of fluids, usually mounted on or close to the Christmas tree. A bean choke contains a replaceable insert, or bean, made from hardened steel or similar durable material. The insert is manufactured with a precise diameter hole that forms the choke through which all fluids must pass. Choke inserts are available in a complete range of sizes, generally identified by choke diameter stated in 64ths of an inch; for example, a 32 bean is equivalent to a 1/2-in. choke diameter.",bean choke
Drilling,"A set of pulleys used to gain mechanical advantage in lifting or dragging heavy objects. There are two large blocks on a drilling rig, the crown block and the traveling block. Each has several sheaves that are rigged with steel drilling cable or line such that the traveling block may be raised (or lowered) by reeling in (or out) a spool of drilling line on the drawworks.",block
Drilling,"The process of unscrewing drillstring components, which are coupled by various threadforms known as connections, including tool joints and other threaded connections.",breakout
Drilling,"An average or baseline measure of gas entrained in circulating mud. This baseline trend pertains to gas that is liberated downhole while drilling through a uniform lithologic interval at a constant rate of penetration. The gas is typically obtained from a suction line above the gas trap located immediately upstream of the shale shaker screens, where the gas evolves out of the mud. Oil-base mud systems tend to produce higher background gas values than do water-base muds. Deviations from the background gas trend likely indicate changes in porosity or permeability, or changes in drilling conditions; any of which merits further investigation. A drift or gradual shift of the background gas trend toward higher values may indicate a slow gas influx into the mud column, which can eventually lead to a kick or blowout. When annotated on mud logs, background gas is usually abbreviated as BGG.",background gas
Drilling Fluids,"The pumpability or consistency of a slurry, measured in Bearden units of consistency (Bc), a dimensionless quantity with no direct conversion factor to more common units of viscosity.",Bearden units of consistency
Drilling,A clutching mechanism that permits the driller to apply high torque to a connection using the power of the drawworks motor.,breakout cathead
Geophysics,"The 0 to 12 scale for measurement of wind strength according to its effect on objects such as trees, flags and water established by Admiral Francis Beaufort (1774 to 1857). According to the Beaufort scale, at wind speeds below 1 knot or 1 km/hr, seas are calm. Whitecaps on water and blowing dust and leaves correspond to a Beaufort number of 4, with winds of 11 to 16 knots [20 to 28 km/hr]. Hurricane-force winds, greater than 64 knots [> 118 km/hr], have a Beaufort number of 12.",Beaufort scale
Production Testing,"An obstruction in the pipeline, composed of asphaltenes, hydrates, waxes, scale and sand deposited on the internal wall of the pipeline forming a barrier to the normal flow of fluids. The conditions for blockage formation are mainly encountered in deepwater operations (low temperature and high pressure).",blockage
Drilling,"Large capacity self-locking wrenches used to grip drillstring components and apply torque. The breakout tongs are the active tongs during breakout operations. A similar set of tongs is tied off to a deadline anchor during breakout operations to provide backup to the connection, not unlike the way a plumber uses two pipe wrenches in an opposing manner to tighten or loosen water pipes, except that breakout tongs are much larger.",breakout tongs
Drilling,"To unscrew drillstring components downhole. The drillstring, including drillpipe and the bottomhole assembly, are coupled by various threadforms known as connections, or tool joints. Often when a drillstring becomes stuck it is necessary to back off the string as deep as possible to recover as much of the string as possible. To facilitate the fishing or recovery operation, the backoff is usually accomplished by applying reverse torque and detonating an explosive charge inside a selected threaded connection. The force of the explosion enlarges the female (outer) thread enough that the threaded connection unscrews instantly. A torqueless backoff may be performed as well. In that case, tension is applied, and the threads slide by each other without turning when the explosive detonates. Backing off can also occur unintentionally. Synonyms: break out",backoff
Geology,"A layer of sediment or sedimentary rock, or stratum. A bed is the smallest stratigraphic unit, generally a centimeter or more in thickness. To be labeled a bed, the stratum must be distinguishable from adjacent beds.",bed
Well Completions," Enhanced Oil Recovery,A description of reservoir conditions under which a fluid, previously isolated or separated from production, gains access to a producing wellbore. The term is most commonly applied to water or gas breakthrough, where the water or gas injected to maintain reservoir pressure via injection wells breaks through to one or more of the producing wells.",breakthrough
Production Testing,Pressure registered on equipment or devices when fluid flows through.,backpressure
Geology,"The thickness of a layer or stratum of sedimentary rock measured perpendicular to its lateral extent, presuming deposition on a horizontal surface. Because sediment deposition can occur on inclined surfaces, apparent or measured bed thickness might differ from true bed thickness. The thickness of a given bed often varies along its extent.",bed thickness
Well Completions,To vent gas from a well or production system. Wells that have been shut in for a period frequently develop a gas cap caused by gas percolating through the fluid column in the wellbore. It is often desirable to remove or vent the free gas before starting well intervention work.,blow down
Drilling,The gangplank or stairway connecting a jackup rig to a fixed platform.,bridge
Drilling,"To intentionally or accidentally plug off pore spaces or fluid paths in a rock formation, or to make a restriction in a wellbore or annulus. A bridge may be partial or total, and is usually caused by solids (drilled solids, cuttings, cavings or junk) becoming lodged together in a narrow spot or geometry change in the wellbore.",bridge
Well Completions,"A wellbore obstruction caused by a buildup of material such as scale, wellbore fill or cuttings that can restrict wellbore access or, in severe cases, eventually close the wellbore.",bridge
Well Workover and Intervention,"The first layer of coiled tubing, slickline or wireline to be wound on the core of a reel drum or spool. The bed wrap helps secure the tubing string or slickline to the reel core and provides the foundation upon which subsequent wraps are laid as the drum is filled. A neat and secure bed wrap is necessary for proper spooling that will allow the drum to hold the maximum capacity without damaging the string.",bed wrap
Drilling,"An uncontrolled flow of reservoir fluids into the wellbore, and sometimes catastrophically to the surface. A blowout may consist of salt water, oil, gas or a mixture of these. Blowouts occur in all types of exploration and production operations, not just during drilling operations. If reservoir fluids flow into another formation and do not flow to the surface, the result is called an underground blowout. If the well experiencing a blowout has significant openhole intervals, it is possible that the well will bridge over (or seal itself with rock fragments from collapsing formations) downhole and intervention efforts will be averted.",blow out
Well Workover and Intervention,"The accumulation or buildup of material, such as sand, fill or scale, within a wellbore, to the extent that the flow of fluids or passage of tools or downhole equipment is severely obstructed. In extreme cases, the wellbore can become completely plugged or bridged-off, requiring some remedial action before normal circulation or production can be resumed.",bridge off
Geology,"Solid rock either exposed at the surface or situated below surface soil, unconsolidated sediments and weathered rock.",bedrock
Drilling,"A large valve at the top of a well that may be closed if the drilling crew loses control of formation fluids. By closing this valve (usually operated remotely via hydraulic actuators), the drilling crew usually regains control of the reservoir, and procedures can then be initiated to increase the mud density until it is possible to open the BOP and retain pressure control of the formation. BOPs come in a variety of styles, sizes and pressure ratings. Some can effectively close over an open wellbore, some are designed to seal around tubular components in the well (drillpipe, casing or tubing) and others are fitted with hardened steel shearing surfaces that can actually cut through drillpipe. Since BOPs are critically important to the safety of the crew, the rig and the wellbore itself, BOPs are inspected, tested and refurbished at regular intervals determined by a combination of risk assessment, local practice, well type and legal requirements. BOP tests vary from daily function testing on critical wells to monthly or less frequent testing on wells thought to have low probability of well control problems.",blow out preventer
Perforating," Well Completions,A downhole tool that is located and set to isolate the lower part of the wellbore. Bridge plugs may be permanent or retrievable, enabling the lower wellbore to be permanently sealed from production or temporarily isolated from a treatment conducted on an upper zone.",bridge plug
Geophysics,"The unit of measurement to describe or compare the intensity of acoustic or electrical signal, named for American inventor Alexander Graham Bell (1847 to 1922). Measurements are typically given in tenths of a bel, or decibels. The logarithm of the ratio of the sound or signal to a standard provides the decibel measurement. Sounds on the order of one decibel are barely audible to humans but can cause pain when on the order of 1012 decibels. The symbol for the unit is B, but dB is the standard unit.",bel
Production Facilities,A phenomenon in which free gas leaves with the liquid phase at the bottom of the separator. This condition may indicate a low liquid level or improper level control inside the separator.,blow by
Geophysics,"A reflection phenomenon of energy in which a nonreflective surface, which is a surface that does not reflect energy coherently, randomly scatters energy. No coherent reflected energy can be identified and the energy is scattered in all directions, including back in the direction from which it came. For example, light can be scattered or redistributed by rough, nonreflective surfaces.",backscatter
Drilling,An enlarged pipe at the top of a casing string that serves as a funnel to guide drilling tools into the top of a well. The bell nipple is usually fitted with a side outlet to permit drilling fluids to flow back to the surface mud treating equipment through another inclined pipe called a flowline.,bell nipple
Well Completions,To vent gas from a well or production system. Wells that have been shut in for a period frequently develop a gas cap caused by gas percolating through the fluid column in the wellbore. It is often desirable to remove or vent the free gas before starting well intervention work.,blowdown
Drilling Fluids,"Solids added to a drilling fluid to bridge across the pore throat or fractures of an exposed rock thereby building a filter cake to prevent loss of whole mud or excessive filtrate. Bridging materials are commonly used in drilling fluids and in lost circulation treatments. For reservoir applications, the bridging agent should be removable-common products include calcium carbonate (acid-soluble), suspended salt (water-soluble) or oil-soluble resins. For lost-circulation treatments, any suitably sized products can be used, including mica, nutshells and fibers. These products are more commonly referred to as lost-circulation material (LCM).",bridging agent
Well Workover and Intervention,"Material of a coarse, fibrous or flaky composition used to form an impermeable barrier across a formation interface or perforation. Bridging materials are most commonly used when lost circulation occurs during drilling. They are also used in workover operations in preparation for killing a well when the kill fluid is likely to be lost to the perforations. The selection of an appropriate bridging material is critical during workover operations since the barrier should be completely removed in preparation for placing the well back on production.",bridging agent
Well Completions,A term used to describe the annulus surrounding a production tubing string above the production packer.,backside
Well Workover and Intervention,"A condition in deviated wellbores in which an additional friction component is applied as the slickline, wireline or coiled tubing is drawn to the inside radius of the curve. The effect is largely dependent on the load on the string, with the resultant friction forces being of most influence when high loads are encountered under static or slow-moving conditions.",belt effect
Drilling Fluids,"Solids added to a drilling fluid to bridge across the pore throat or fractures of an exposed rock thereby building a filter cake to prevent loss of whole mud or excessive filtrate. Bridging materials are commonly used in drilling fluids and in lost circulation treatments. For reservoir applications, the bridging agent should be removable-common products include calcium carbonate (acid-soluble), suspended salt (water-soluble) or oil-soluble resins. For lost-circulation treatments, any suitably sized products can be used, including mica, nutshells and fibers. These products are more commonly referred to as lost-circulation material (LCM).",bridging material
Well Workover and Intervention,"Material of a coarse, fibrous or flaky composition used to form an impermeable barrier across a formation interface or perforation. Bridging materials are most commonly used when lost circulation occurs during drilling. They are also used in workover operations in preparation for killing a well when the kill fluid is likely to be lost to the perforations. The selection of an appropriate bridging material is critical during workover operations since the barrier should be completely removed in preparation for placing the well back on production.",bridging material
Geophysics,"A permanently fixed marker cited in surveying, such as a concrete block or steel plate, with an inscription of location and elevation.",benchmark
Geophysics,A standard against which the performance of processes are measured.,benchmark
Production Facilities,Opening the valve on a drip to allow natural gas to blow or clear the pipe of all liquids.,blowing the drip
Formation Evaluation,"A special section of cable that is placed between the logging cable and the head of the logging tool. Unlike the logging cable, the steel load-bearing element is in the center, surrounded by the conductors that are held in an insulating jacket. The bridle is needed for most conventional electrical logs and laterologs in which the cable armor is used as a current return. To be effective, this return must be at some distance from the logging tool and insulated from it. Typical bridles are 80 ft [24 m] long. Electrodes may be wound on the outside of the bridle and connected to the logging tool for use as measurement references or for spontaneous potential measurements.",bridle
Formation Evaluation,"An extra curve on a log, designed to appear when the standard curve goes off track. For example, if the standard gamma ray curve is presented on a scale of 0 to 200 gAPI units, the backup curve may be scaled from 200 to 400 gAPI units. Alternatively, if the standard resistivity log is presented on a scale of 0 to 50 ohm-m, the backup curve might be presented on a scale of 0 to 500 ohm-m in the same track but be blanked off for readings below 50 ohm-m. The backup curve usually has the same coding as the standard curve but a different line weight.",backup curve
Drilling Fluids,"To improve a mineral or ore for its designed use through chemical treatments or mechanical processes. For example, barite and bentonite clay minerals are beneficiated in order to help them meet specifications for use in drilling fluids. Reference: Garrett RL: Quality Requirements for Industrial Minerals Used in Drilling Fluids, Mining Engineering 39, no. 11 (November 1987): 1011-1016.",beneficiate
Drilling,"Uncontrolled flow of formation fluids from a well. An uncontrolled flow of formation fluids from the wellbore or into lower pressured subsurface zones (underground blowout). Uncontrolled flows cannot be contained using previously installed barriers and require specialized services intervention. A blowout may consist of water, oil, gas or a mixture of these. Blowouts may occur during all types of well activities and are not limited to drilling operations. In some circumstances, it is possible that the well will bridge over, or seal itself with rock fragments from collapsing formations downhole.",blowout
Reservoir Characterization,"A system for color-coding three-dimensional information. This system is used in wireline log analysis to provide color shading in which the final color is determined by the values of three curves. One curve dictates the intensity of red, a second the intensity of green, and the third the intensity of blue. The final resulting color is the result of the three input curves. The input curves may be raw curves from the field or computed curves. When used for correlation work on cross sections, the curves must have been normalized to remove the effects of incorrect calibrations and borehole problems. Reference: Doveton JH: Geologic Log Analysis Using Computer Methods, AAPG Computer Applications in Geology, No. 2. AAPG, Tulsa, Oklahoma, USA (1994): 39-41.",Briggs color cube
Well Completions,"A supporting ring used with an O-ring, or similar seal, to prevent extrusion of the seal material under high differential pressures or excess wear under dynamic sealing conditions.",back up ring
Drilling Fluids,"Chemical treatment or mechanical processes that improve a mineral or ore for its designed use. For example, barite and bentonite clay minerals are beneficiated in order to help them meet certain specifications for use in drilling fluids.Reference:Garrett RL: Quality Requirements for Industrial Minerals Used in Drilling Fluids, Mining Engineering 39, no. 11 (November 1987): 1011-1016.",beneficiation
Drilling,"A large valve at the top of a well that may be closed if the drilling crew loses control of formation fluids. By closing this valve (usually operated remotely via hydraulic actuators), the drilling crew usually regains control of the reservoir, and procedures can then be initiated to increase the mud density until it is possible to open the BOP and retain pressure control of the formation. BOPs come in a variety of styles, sizes and pressure ratings. Some can effectively close over an open wellbore, some are designed to seal around tubular components in the well (drillpipe, casing or tubing) and others are fitted with hardened steel shearing surfaces that can actually cut through drillpipe. Since BOPs are critically important to the safety of the crew, the rig and the wellbore itself, BOPs are inspected, tested and refurbished at regular intervals determined by a combination of risk assessment, local practice, well type and legal requirements. BOP tests vary from daily function testing on critical wells to monthly or less frequent testing on wells thought to have low probability of well control problems.",blowout preventer
Geophysics,"A seismic amplitude anomaly or high amplitude that can indicate the presence of hydrocarbons. Bright spots result from large changes in acoustic impedance and tuning effect, such as when a gas sand underlies a shale, but can also be caused by phenomena other than the presence of hydrocarbons, such as a change in lithology. The term is often used synonymously with hydrocarbon indicator.",bright spot
Enhanced Oil Recovery,A laboratory test to determine the phase envelope between oil and enriched gas. The test is conducted by equilibrating an oil sample several times with fresh samples of gas. Intermediate components are stripped from the gas by multiple contacts with the oil. The test also indicates how many contacts are required before the oil with added intermediate components becomes miscible with the gas. The molar ratios at each contact step are typically designed using PVT simulation software that incorporates the fluid composition from the previous contact.,backward multiple contact test
Geology,"A zone of the upper mantle in which earthquakes occur when a lithospheric plate is subducted, named in honor of seismologists Kiyoo Wadati and Hugo Benioff. The dip of this zone, also referred to as the Wadati-Benioff zone, coincides with the dip of the subducting plate. The Wadati-Benioff zone extends to a depth of about 700 km [435 miles] from the Earth's surface.",Benioff zone
Production Testing,"Abbreviation for barrels of liquid per day, usually used in reference to total production of oil and water from a well. The volume of a barrel is equivalent to 42 US gallons.",BLPD
Geology,Water containing more dissolved inorganic salt than typical seawater.,brine
Drilling,"Saline liquid usually used in completion operations and, increasingly, when penetrating a pay zone. Brines are preferred because they have higher densities than fresh water but lack solid particles that might damage producible formations. Classes of brines include chloride brines (calcium and sodium), bromides and formates.",brine
Drilling Fluids,"A general term that refers to various salts and salt mixtures dissolved in an aqueous solution. Brine can be used more strictly, however, to refer to solutions of sodium chloride. We prefer to use brine as a general term. The emulsified calcium chloride [CaCl2] solution (or any other saline phase) in an oil mud is referred to as brine or brine phase. The oil/brine ratio, abbreviated OBR, is used to compare solids content and salinities of oil muds. Clear brines are salt solutions that have few or no suspended solids.",brine
Well Completions,"A water-based solution of inorganic salts used as a well-control fluid during the completion and workover phases of well operations. Brines are solids free, containing no particles that might plug or damage a producing formation. In addition, the salts in brine can inhibit undesirable formation reactions such as clay swelling. Brines are typically formulated and prepared for specific conditions, with a range of salts available to achieve densities ranging from 8.4 to over 20 lbm/gal (ppg) [1.0 to 2.4 g/cmo]. Common salts used in the preparation of simple brine systems include sodium chloride, calcium chloride and potassium chloride. More complex brine systems may contain zinc, bromide or iodine salts. These brines are generally corrosive and costly.",brine
Production Facilities,"Water containing salts in solution, such as sodium, calcium or bromides. Brine is commonly produced along with oil. The disposal of oilfield brine is usually accomplished by underground injection into salt-water saturated formations or by evaporation in surface pits.",brine
Drilling,"Another term for reverse circulation, the intentional pumping of wellbore fluids down the annulus and back up through the drillpipe. This is the opposite of the normal direction of fluid circulation in a wellbore. Since the inside volume of the drillpipe is considerably less than the volume of the annulus outside of the drillpipe, reverse circulation can bring bottomhole fluids to the surface faster than normal circulation for a given flow rate. Two potential hazards of reverse circulation include lifting cuttings and other junk into the drillstring and the rapid flow of reservoir fluids to the surface in a kick situation.",backwash
Well Completions,"To conduct reverse circulation, that is, to circulate fluid down the wellbore annulus, with returns being made up the tubing string. Reverse circulation is often used to remove debris from the wellbore since the high fluid flow rate inside the tubing string enables the recovery of large or dense debris particles that are difficult or impossible to remove with conventional circulation.",backwash
Geology,"Pertaining to the environment and conditions of organisms living at the water bottom, or benthos. Also called benthonic.",benthic
Geophysics,"A permanently fixed marker cited in surveying, such as a concrete block or steel plate, with an inscription of location and elevation.",BM
Well Completions,To prepare a well for production by initiating flow from the reservoir. This is the final phase of a completion or workover process.,bring in the well
Drilling Fluids,"An additive that kills bacteria. Bactericides are commonly used in water muds containing natural starches and gums that are especially vulnerable to bacterial attack. Bactericide choices are limited and care must be taken to find those that are effective yet approved by governments and by company policy. Bactericides, also called biocides, can be used to control sulfate-reducing bacteria, slime-forming bacteria, iron-oxidizing bacteria and bacteria that attacks polymers in fracture and secondary recovery fluids. In polymers, the degradation of the fluid is controlled, thus avoiding the formation of a large biomass, which could plug the formation and reduce permeability.",bactericide
Geology,Organisms that live at the bottom of a body of water.,benthos
Drilling Fluids,The amount of oxygen consumed by biodegradation processes during a standardized test. The test usually involves degradation of organic matter in a discarded waste or an effluent.,BOD
Production Facilities,A measure of heat energy required to raise the temperature of one pound of water by one degree Fahrenheit. British thermal unit is abbreviated as BTU.,British thermal unit
Formation Evaluation,"A borehole that is not to gauge or is rugose. The term usually refers to the detrimental effect that such a borehole has on the response of logging measurements, in particular pad tools like the density or micro-resistivity. The existence of bad hole is usually determined by a caliper log and on various secondary measurements such as delta rho.",bad hole
Geology,"A material composed of clay minerals, predominantly montmorillonite with minor amounts of other smectite group minerals, commonly used in drilling mud. Bentonite swells considerably when exposed to water, making it ideal for protecting formations from invasion by drilling fluids. Montmorillonite forms when basic rocks such as volcanic ash in marine basins are altered.",bentonite
Drilling Fluids,"A clay mineral that is composed principally of three-layer clays, such as montmorillonite, and widely used as a mud additive for viscosity and filtration control. Commercial bentonite ores vary widely in amount and quality of the swelling clay, sodium montmorillonite. Ores of lower quality, those with more calcium-type montmorillonite, are treated during grinding by adding one or more of the following: sodium carbonate, long-chain synthetic polymers, carboxymethylcellulose (CMC), starch or polyphosphates. These help make the final product meet quality specifications. Unfortunately, the additives may not remain effective in the real mud world when in use at the rig due to hardness ions in the water, high temperature, bacterial attack, mechanical shear-degradation and other factors that can render these additives ineffective.",bentonite
Well Workover and Intervention,A downhole tool used to repair the internal diameter of the production tubing where a slight collapse or a dent has occurred. Cutting profiles on a broach removes the tubing-wall material to allow subsequent passage of tools and equipment of a prescribed diameter.,broach
Well Workover and Intervention,"The point at which the forces acting on a tubing string suspended in a live wellbore are equal. Under these conditions, the weight of the tubing string is balanced by the wellbore pressure acting to expel the string from the wellbore. The friction caused by the tubing string passing through the stripper or wellhead sealing device acts to extend the interval over which the balance point is apparent.",balance point
Drilling Fluids,"A term used to express the results of the methylene blue test, which determines the amount of clay-like materials in a water-base drilling fluid based on the amount of methylene blue dye absorbed by the sample. Results are reported as MBT and also as lbm/bbl, bentonite equivalent when performed to API specifications.",bentonite equivalent
Geophysics,A wave that propagates through a medium rather than along an interface. P-waves and S-waves are examples of body waves.,body wave
Formation Evaluation,"A particular arrangement of transmitters and receivers used in the electromagnetic propagation measurement in which the dipoles used as sensors are oriented perpendicular to the axis of the tool. The orientation is combined with relatively short spacings to give a significant signal even in the most attenuative environments, such as salty muds.",broadside array
Drilling Fluids,"An oil-base mud in which the activity, or vapor pressure, of the brine phase is balanced with that of the formations drilled. Although long shale sections may not have a constant value for vapor pressure, aw, the oil mud will adjust osmotically to achieve an average aw value. Dynamic (autopilot) balance of mud salinity and drilled shales is maintained because as water moves into or out of the mud, it also moves out of or into the shale. As water transfer continues during drilling, the mud's water phase will be either diluted or concentrated in CaCl2 as needed to match the average aw value of the shale section and cuttings exposed to the mud. Reference: Chenevert ME: Shale Control With Balanced-Activity Oil-Continuous Muds, Journal of Petroleum Technology 33, no. 11 (November 1970): 1370-1378.",balanced activity oil mud
Reservoir Characterization,One of a number of possible distributions that may occur when the results of events are plotted. Boltzmann distributions were originally described from theoretical consideration on the probable interactions of molecules. It has been used in simulation of annealing and can be used for studying perturbations in geostatistical models.,Boltzmann probability distribution
Drilling Fluids,"An aqueous solution of sodium, calcium or zinc bromide salt or mixtures of these salts. These dense aqueous solutions are used for well completion and workover purposes.",bromide brine
Formation Evaluation,"An array induction whose transmitters and receivers are arranged to produce a null reading in free space, that is, which has the mutual signal balanced to zero.",balanced array
Drilling,"An average or baseline measure of gas entrained in circulating mud. This baseline trend pertains to gas that is liberated downhole while drilling through a uniform lithologic interval at a constant rate of penetration. The gas is typically obtained from a suction line above the gas trap located immediately upstream of the shale shaker screens, where the gas evolves out of the mud. Oil-base mud systems tend to produce higher background gas values than do water-base muds. Deviations from the background gas trend likely indicate changes in porosity or permeability, or changes in drilling conditions; any of which merits further investigation. A drift or gradual shift of the background gas trend toward higher values may indicate a slow gas influx into the mud column, which can eventually lead to a kick or blowout. When annotated on mud logs, background gas is usually abbreviated as BGG.",BGG
Drilling Fluids,Slang term for a type of pressure vessel.,bomb
Drilling Fluids,"An indicator used in place of methyl orange in alkalinity tests. It is green at pH values over 4.3, but yellow when pH is less than 4.3.",bromocresol green
Well Completions,"A plug of cement or similar material placed as a slurry in a specific location within the wellbore and which has set to provide a means of pressure isolation or mechanical platform. For correct placement, the volume of slurry and the displacement fluid must be carefully calculated and measured. The correct volume ensures that the column of fluid in the tubing string is balanced by the column of fluid in the annulus.",balanced plug
Drilling,"The lower portion of the drillstring, consisting of (from the bottom up in a vertical well) the bit, bit sub, a mud motor (in certain cases), stabilizers, drill collar, heavy-weight drillpipe, jarring devices (jars) and crossovers for various threadforms. The bottomhole assembly must provide force for the bit to break the rock (weight on bit), survive a hostile mechanical environment and provide the driller with directional control of the well. Oftentimes the assembly includes a mud motor, directional drilling and measuring equipment, measurements-while-drilling tools, logging-while-drilling tools and other specialized devices. A simple BHA consisting of a bit, various crossovers, and drill collars may be relatively inexpensive (less than $100,000 US in 1999), while a complex one may cost ten or more times that amount.",BHA
Drilling Fluids,A log that uses the variations in amplitude of an acoustic signal traveling down the casing wall between a transmitter and receiver to determine the quality of cement bond on the exterior casing wall.,bond log
Drilling Fluids,"A cone-and-plate rheometer designed to measure viscosity of non-Newtonian fluids at low shear rates and with more accuracy than is attainable with a 6-speed, direct-indicating viscometer. Such low shear-rate data are needed for designing muds with improved hole-cleaning properties and to minimize sag of weighting material. (Brookfield is a mark of Brookfield Engineering Laboratories, Inc.)",Brookfield viscometer
Drilling Fluids,"An oil-base mud in which the activity, or vapor pressure, of the brine phase is balanced with that of the formations drilled. Although long shale sections may not have a constant value for vapor pressure, aw, the oil mud will adjust osmotically to achieve an average aw value. Dynamic (autopilot) balance of mud salinity and drilled shales is maintained because as water moves into or out of the mud, it also moves out of or into the shale. As water transfer continues during drilling, the mud's water phase will be either diluted or concentrated in CaCl2 as needed to match the average aw value of the shale section and cuttings exposed to the mud. Reference:Chenevert ME: Shale Control With Balanced-Activity Oil-Continuous Muds, Journal of Petroleum Technology 33, no. 11 (November 1970): 1370-1378.",balanced activity oil mud
